imagename,faces,places,words,letters,numbers
412,1,0,1,0,0
413,1,0,1,0,0
414,1,1,1,0,1
415,1,1,1,0,0
416,1,1,1,0,0
417,1,0,1,0,0
418,1,1,1,0,0
419,0,0,0,0,1
420,1,0,0,1,1
421,1,1,0,0,0
422,0,0,1,1,0
423,0,0,1,1,0
424,0,0,1,1,0
425,1,1,1,0,0
426,0,1,1,0,0
427,0,1,1,1,0
428,1,0,1,0,0
429,0,0,1,0,1
430,0,0,0,0,1
431,1,0,0,1,0
432,0,0,1,0,0
433,0,0,0,0,1
434,1,0,1,0,1
435,0,0,1,1,0
436,0,0,1,1,0
437,0,0,1,1,0
438,0,0,1,1,0
439,0,0,1,1,0
440,1,0,1,0,0
441,1,0,1,0,1
442,1,0,1,1,1
443,1,0,1,1,0
444,1,0,1,1,0
445,1,0,1,0,1
446,1,0,0,1,0
447,1,1,0,0,0
448,0,0,0,1,0
449,0,0,1,1,0
450,0,0,1,0,0
451,0,0,1,0,0
452,0,0,1,0,0
453,0,0,1,0,0
454,0,0,1,0,0
455,0,0,1,0,0
456,0,0,0,0,0
457,1,0,0,1,0
458,1,1,1,0,0
459,0,0,0,0,1
460,0,0,0,0,1
461,1,0,0,0,1
462,0,0,0,0,1
463,1,1,0,0,0
464,1,1,0,0,0
465,1,0,0,0,1
466,0,0,0,0,1
467,0,0,0,0,1
468,1,0,0,0,0
469,0,1,1,1,1
470,0,0,0,0,1
471,1,1,1,1,1
472,0,0,0,0,1
473,0,0,0,0,1
474,0,0,0,0,1
475,1,1,1,0,0
476,0,0,0,0,1
477,0,0,0,0,1
478,0,0,0,0,1
479,1,1,1,0,0
480,0,0,1,1,0
481,1,0,0,1,0
482,1,0,0,1,0
483,1,0,1,1,0
484,1,0,0,0,1
485,0,0,0,0,1
486,0,0,0,0,1
487,1,1,0,0,0
488,1,0,0,0,0
489,1,0,0,1,0
490,1,0,0,1,0
491,1,0,1,0,0
492,1,0,0,1,0
493,1,0,0,0,1
494,0,0,1,0,0
495,0,1,1,0,0
496,1,0,0,0,1
497,1,0,0,0,1
498,1,0,0,0,0
499,1,1,1,0,1
500,1,1,1,0,0
501,1,1,0,0,0
502,1,1,0,0,0
503,1,1,0,0,0
504,0,1,0,0,0
505,1,1,0,0,0
506,0,1,0,0,0
507,0,1,0,0,1
508,0,1,0,0,0
509,0,0,0,0,1
510,0,0,0,0,1
511,0,1,0,0,0
512,0,1,0,1,0
513,0,1,1,1,1
514,0,1,1,1,1
515,1,1,1,0,0
516,1,1,0,0,0
517,1,1,0,0,0
518,1,1,0,0,0
519,1,1,1,0,0
520,1,1,1,0,0
521,0,0,0,1,0
522,1,1,0,0,0
523,0,0,0,1,0
524,0,0,0,1,0
525,1,1,0,0,0
526,0,1,0,0,0
527,0,1,0,0,0
528,1,1,0,0,0
529,1,1,0,0,0
530,1,1,1,0,0
531,1,1,1,0,0
532,0,0,0,1,0
533,1,1,0,0,1
534,1,1,0,0,0
535,0,1,0,0,0
536,1,1,0,0,0
537,1,1,0,0,0
538,1,1,0,0,0
539,0,1,0,0,0
540,1,1,0,0,0
541,1,1,0,0,0
542,1,1,0,0,0
543,0,0,0,1,0
544,1,0,0,1,0
545,0,0,0,1,0
546,0,0,0,1,0
547,0,0,0,1,0
548,1,0,1,1,0
549,1,0,0,1,0
550,0,1,0,0,0
551,1,1,0,0,0
552,1,1,0,0,0
553,1,0,0,1,0
554,0,1,0,1,0
555,1,1,1,0,0
556,1,1,0,1,0
557,1,0,0,1,0
558,0,1,1,0,0
559,1,0,0,1,0
560,1,0,0,1,0
561,0,1,1,1,0
562,1,0,1,1,1
563,1,0,1,1,0
564,1,0,0,1,0
565,1,0,1,1,0
566,0,1,0,0,0
567,1,1,0,0,0
568,1,1,0,0,0
569,1,1,1,0,0
570,0,1,0,0,0
571,0,0,0,1,0
572,0,1,0,1,0
573,1,1,0,0,1
574,0,1,0,0,1
575,1,1,0,1,0
576,1,1,0,0,1
577,0,1,0,0,1
578,0,0,0,1,1
579,0,0,0,1,1
580,0,0,1,1,1
581,0,0,0,1,1
582,0,0,0,1,1
583,0,1,0,0,1
584,0,1,0,0,1
585,0,1,0,0,1
